agencia,ti,to,indice_indisp,vol_atms,vol_transacao,grupo_controle,onda_fechamento,anomes,anomes_fechamento,periodo_fechamento
0,7280,120986,0.060172,19,7932,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
0,1979,79028,0.025042,18,19386,SIM,NAO SE APLICA,202504,NAO SE APLICA,POS
0,7280,120986,0.060172,19,7932,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
0,1979,79028,0.025042,18,19386,SIM,NAO SE APLICA,202505,NAO SE APLICA,POS
0,7280,120986,0.060172,19,7932,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
0,1979,79028,0.025042,18,19386,SIM,NAO SE APLICA,202506,NAO SE APLICA,POS
0,7280,120986,0.060172,19,7932,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
0,1979,79028,0.025042,18,19386,SIM,NAO SE APLICA,202507,NAO SE APLICA,POS
0,7280,120986,0.060172,19,7932,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
0,1979,79028,0.025042,18,19386,SIM,NAO SE APLICA,202508,NAO SE APLICA,POS
0,7280,120986,0.060172,19,7932,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
0,1979,79028,0.025042,18,19386,SIM,NAO SE APLICA,202509,NAO SE APLICA,POS
0,7280,120986,0.060172,19,7932,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
0,1979,79028,0.025042,18,19386,SIM,NAO SE APLICA,202510,NAO SE APLICA,POS
1,4835,103917,0.046528,13,10980,SIM,NAO SE APLICA,202504,NAO SE APLICA,PRE
1,4835,103917,0.046528,13,10980,SIM,NAO SE APLICA,202505,NAO SE APLICA,PRE
1,4835,103917,0.046528,13,10980,SIM,NAO SE APLICA,202506,NAO SE APLICA,PRE
1,4835,103917,0.046528,13,10980,SIM,NAO SE APLICA,202507,NAO SE APLICA,PRE
1,4835,103917,0.046528,13,10980,SIM,NAO SE APLICA,202508,NAO SE APLICA,PRE
1,4835,103917,0.046528,13,10980,SIM,NAO SE APLICA,202509,NAO SE APLICA,PRE
1,4835,103917,0.046528,13,10980,SIM,NAO SE APLICA,202510,NAO SE APLICA,PRE
2,9727,117162,0.083022,13,9858,SIM,NAO SE APLICA,202504,NAO SE APLICA,PRE
2,6020,78443,0.076744,18,19528,SIM,NAO SE APLICA,202504,NAO SE APLICA,PRE
2,9727,117162,0.083022,13,9858,SIM,NAO SE APLICA,202505,NAO SE APLICA,PRE
2,6020,78443,0.076744,18,19528,SIM,NAO SE APLICA,202505,NAO SE APLICA,PRE
2,9727,117162,0.083022,13,9858,SIM,NAO SE APLICA,202506,NAO SE APLICA,PRE
2,6020,78443,0.076744,18,19528,SIM,NAO SE APLICA,202506,NAO SE APLICA,PRE
2,9727,117162,0.083022,13,9858,SIM,NAO SE APLICA,202507,NAO SE APLICA,PRE
2,6020,78443,0.076744,18,19528,SIM,NAO SE APLICA,202507,NAO SE APLICA,PRE
